flight_number,flight_date,origin,destination,tail_number,aircraft_type,gross_weight_cargo_kg,gross_volume_cargo_m3,passenger_count,baggage_weight_kg,fuel_weight_kg,fuel_price_per_kg,cargo_price_per_kg
AB102,2024-01-12,SIN,KUL,TN-ZZB,Boeing 737-800,1510,40,155,2480,4820,0.86,1.68
AB201,2024-01-12,KUL,BKK,TN-ZNA,Airbus A330-300,12850,122,275,4950,18490,0.86,2.05
AB301,2024-01-12,SIN,HKG,TN-ZND,Airbus A330-200,11780,108,268,4824,28750,0.86,3.72
AB501,2024-01-12,BKK,SGN,TN-ZNC,Boeing 737-900ER,1780,46,175,2800,5220,0.86,1.7
AB101,2024-01-13,KUL,SIN,TN-ZNB,Boeing 737-800,1520,40,168,2688,4890,0.86,1.65
AB102,2024-01-13,SIN,KUL,TN-ZZB,Boeing 737-800,1550,41,160,2560,4840,0.86,1.7
AB201,2024-01-13,KUL,BKK,TN-ZNA,Airbus A330-300,12980,124,280,5040,18520,0.86,2.08
AB401,2024-01-13,KUL,PVG,TN-ZFB,Airbus A330-300,14150,133,275,4950,42700,0.86,4.25
AB101,2024-01-14,KUL,SIN,TN-ZNB,Boeing 737-800,1550,41,172,2752,4910,0.87,1.68
AB102,2024-01-14,SIN,KUL,TN-ZZB,Boeing 737-800,1580,42,165,2640,4860,0.87,1.72
AB201,2024-01-14,KUL,BKK,TN-ZNA,Airbus A330-300,13120,126,285,5130,18550,0.87,2.1
AB301,2024-01-14,SIN,HKG,TN-ZND,Airbus A330-200,12050,110,272,4896,28800,0.87,3.8
AB101,2024-01-15,KUL,SIN,TN-ZNB,Boeing 737-800,1580,42,165,2640,4880,0.87,1.7
AB102,2024-01-15,SIN,KUL,TN-ZZB,Boeing 737-800,1620,43,158,2528,4830,0.87,1.75
AB201,2024-01-15,KUL,BKK,TN-ZNA,Airbus A330-300,13280,128,278,5004,18530,0.87,2.12
AB501,2024-01-15,BKK,SGN,TN-ZNC,Boeing 737-900ER,1850,48,170,2720,5200,0.87,1.75
AB101,2024-01-16,KUL,SIN,TN-ZNB,Boeing 737-800,1620,43,160,2560,4870,0.87,1.72
AB102,2024-01-16,SIN,KUL,TN-ZZB,Boeing 737-800,1650,44,152,2432,4820,0.87,1.78
AB201,2024-01-16,KUL,BKK,TN-ZNA,Airbus A330-300,13450,130,272,4896,18510,0.87,2.15
AB401,2024-01-16,KUL,PVG,TN-ZFB,Airbus A330-300,14380,134,268,4824,42750,0.87,4.35
AB301,2024-01-17,SIN,HKG,TN-ZND,Airbus A330-200,12280,112,275,4950,28850,0.87,3.88
AB101,2024-01-17,KUL,SIN,TN-ZNB,Boeing 737-800,1650,44,158,2528,4860,0.87,1.75
AB102,2024-01-17,SIN,KUL,TN-ZZB,Boeing 737-800,1680,45,150,2400,4810,0.87,1.8
AB201,2024-01-17,KUL,BKK,TN-ZNA,Airbus A330-300,13580,131,268,4824,18490,0.87,2.18
AB501,2024-01-17,BKK,SGN,TN-ZNC,Boeing 737-900ER,1890,49,168,2688,5180,0.87,1.78
AB101,2024-01-18,KUL,SIN,TN-ZNB,Boeing 737-800,1680,45,162,2592,4880,0.88,1.78
AB102,2024-01-18,SIN,KUL,TN-ZZB,Boeing 737-800,1720,46,155,2480,4830,0.88,1.82
AB201,2024-01-18,KUL,BKK,TN-ZNA,Airbus A330-300,13720,132,275,4950,18520,0.88,2.2
AB401,2024-01-18,KUL,PVG,TN-ZFB,Airbus A330-300,14580,135,272,4896,42800,0.88,4.45
AB101,2024-01-19,KUL,SIN,TN-ZNB,Boeing 737-800,1710,46,168,2688,4900,0.88,1.8
AB102,2024-01-19,SIN,KUL,TN-ZZB,Boeing 737-800,1750,47,160,2560,4850,0.88,1.85
AB201,2024-01-19,KUL,BKK,TN-ZNA,Airbus A330-300,13850,133,280,5040,18550,0.88,2.22
AB301,2024-01-19,SIN,HKG,TN-ZND,Airbus A330-200,12520,115,280,5040,28900,0.88,3.95
AB501,2024-01-19,BKK,SGN,TN-ZNC,Boeing 737-900ER,1920,50,172,2752,5220,0.88,1.82
AB101,2024-01-20,KUL,SIN,TN-ZNB,Boeing 737-800,1740,47,172,2752,4920,0.88,1.82
AB102,2024-01-20,SIN,KUL,TN-ZZB,Boeing 737-800,1780,48,165,2640,4870,0.88,1.88
AB201,2024-01-20,KUL,BKK,TN-ZNA,Airbus A330-300,13980,134,285,5130,18580,0.88,2.25
AB401,2024-01-20,KUL,PVG,TN-ZFB,Airbus A330-300,14720,135,278,5004,42850,0.88,4.55
AB101,2024-01-21,KUL,SIN,TN-ZNB,Boeing 737-800,1760,48,175,2800,4940,0.88,1.85
AB102,2024-01-21,SIN,KUL,TN-ZZB,Boeing 737-800,1800,49,168,2688,4890,0.88,1.9
AB201,2024-01-21,KUL,BKK,TN-ZNA,Airbus A330-300,14100,135,288,5184,18600,0.88,2.28
AB301,2024-01-21,SIN,HKG,TN-ZND,Airbus A330-200,12750,118,285,5130,28950,0.88,4.02
AB101,2024-01-22,KUL,SIN,TN-ZNB,Boeing 737-800,1780,49,170,2720,4930,0.88,1.88
AB102,2024-01-22,SIN,KUL,TN-ZZB,Boeing 737-800,1820,50,162,2592,4880,0.88,1.92
AB201,2024-01-22,KUL,BKK,TN-ZNA,Airbus A330-300,14200,136,282,5076,18580,0.88,2.3
AB401,2024-01-23,KUL,PVG,TN-ZFB,Airbus A330-300,14780,135,275,4950,42900,0.88,4.62
AB101,2024-01-23,KUL,SIN,TN-ZNB,Boeing 737-800,1795,50,168,2688,4920,0.88,1.9
AB102,2024-01-23,SIN,KUL,TN-ZZB,Boeing 737-800,1840,51,158,2528,4870,0.88,1.95
AB201,2024-01-23,KUL,BKK,TN-ZNA,Airbus A330-300,14280,137,278,5004,18560,0.88,2.32
AB301,2024-01-24,SIN,HKG,TN-ZND,Airbus A330-200,12920,120,288,5184,29000,0.88,4.08
AB101,2024-01-24,KUL,SIN,TN-ZNB,Boeing 737-800,1800,50,172,2752,4940,0.88,1.92
AB102,2024-01-24,SIN,KUL,TN-ZZB,Boeing 737-800,1850,52,160,2560,4880,0.88,1.98
AB201,2024-01-24,KUL,BKK,TN-ZNA,Airbus A330-300,14350,138,280,5040,18580,0.88,2.35
AB501,2024-01-24,BKK,SGN,TN-ZNC,Boeing 737-900ER,1980,52,175,2800,5250,0.88,1.88
AB101,2024-01-25,KUL,SIN,TN-ZNB,Boeing 737-800,1800,50,175,2800,4960,0.88,1.95
AB102,2024-01-25,SIN,KUL,TN-ZZB,Boeing 737-800,1850,52,168,2688,4900,0.88,2
AB201,2024-01-25,KUL,BKK,TN-ZNA,Airbus A330-300,14420,139,285,5130,18600,0.88,2.38
AB401,2024-01-25,KUL,PVG,TN-ZFB,Airbus A330-300,14800,135,280,5040,42950,0.88,4.7
AB101,2024-01-26,KUL,SIN,TN-ZNB,Boeing 737-800,1800,50,178,2848,4980,0.88,1.98
AB102,2024-01-26,SIN,KUL,TN-ZZB,Boeing 737-800,1850,52,172,2752,4920,0.88,2.02
AB201,2024-01-26,KUL,BKK,TN-ZNA,Airbus A330-300,14480,140,290,5220,18620,0.88,2.4
AB301,2024-01-26,SIN,HKG,TN-ZND,Airbus A330-200,13100,122,292,5256,29050,0.88,4.15
AB501,2024-01-26,BKK,SGN,TN-ZNC,Boeing 737-900ER,2020,54,178,2848,5280,0.88,1.92
AB101,2024-01-27,KUL,SIN,TN-ZNB,Boeing 737-800,1800,50,180,2880,5000,0.88,2
AB102,2024-01-27,SIN,KUL,TN-ZZB,Boeing 737-800,1850,52,175,2800,4940,0.88,2.05
AB201,2024-01-27,KUL,BKK,TN-ZNA,Airbus A330-300,14500,141,295,5310,18650,0.88,2.42
AB401,2024-01-27,KUL,PVG,TN-ZFB,Airbus A330-300,14800,135,285,5130,43000,0.88,4.78
AB101,2024-01-28,KUL,SIN,TN-ZNB,Boeing 737-800,1800,50,182,2912,5020,0.88,2.02
AB102,2024-01-28,SIN,KUL,TN-ZZB,Boeing 737-800,1850,52,178,2848,4960,0.88,2.08
AB201,2024-01-28,KUL,BKK,TN-ZNA,Airbus A330-300,14500,142,298,5364,18680,0.88,2.45
AB301,2024-01-28,SIN,HKG,TN-ZND,Airbus A330-200,13180,124,295,5310,29100,0.88,4.2
AB101,2024-01-29,KUL,SIN,TN-ZNB,Boeing 737-800,1800,50,180,2880,5010,0.88,2.05
AB102,2024-01-29,SIN,KUL,TN-ZZB,Boeing 737-800,1850,52,175,2800,4950,0.88,2.1
AB201,2024-01-29,KUL,BKK,TN-ZNA,Airbus A330-300,14500,143,296,5328,18670,0.88,2.48
AB501,2024-01-29,BKK,SGN,TN-ZNC,Boeing 737-900ER,2050,55,180,2880,5300,0.88,1.95
AB101,2024-01-30,KUL,SIN,TN-ZNB,Boeing 737-800,1800,50,178,2848,5000,0.88,2.08
AB102,2024-01-30,SIN,KUL,TN-ZZB,Boeing 737-800,1850,52,172,2752,4940,0.88,2.12
AB201,2024-01-30,KUL,BKK,TN-ZNA,Airbus A330-300,14500,144,294,5292,18660,0.88,2.5
AB401,2024-01-30,KUL,PVG,TN-ZFB,Airbus A330-300,14800,135,282,5076,43050,0.88,4.8
AB301,2024-01-31,SIN,HKG,TN-ZND,Airbus A330-200,13200,125,298,5364,29150,0.88,4.22
AB101,2024-01-31,KUL,SIN,TN-ZNB,Boeing 737-800,1800,50,175,2800,4990,0.88,2.1
AB102,2024-01-31,SIN,KUL,TN-ZZB,Boeing 737-800,1850,52,168,2688,4930,0.88,2.15
AB201,2024-01-31,KUL,BKK,TN-ZNA,Airbus A330-300,14500,145,292,5256,18650,0.88,2.52
AB501,2024-01-31,BKK,SGN,TN-ZNC,Boeing 737-900ER,2080,56,178,2848,5320,0.88,1.98
AB101,2024-02-01,KUL,SIN,TN-ZNB,Boeing 737-800,1780,49,180,2880,5010,0.87,2.12
AB102,2024-02-01,SIN,KUL,TN-ZZB,Boeing 737-800,1820,51,175,2800,4950,0.87,2.18
AB201,2024-02-01,KUL,BKK,TN-ZNA,Airbus A330-300,14450,144,295,5310,18670,0.87,2.55
AB401,2024-02-01,KUL,PVG,TN-ZFB,Airbus A330-300,14750,135,288,5184,43100,0.87,4.75
AB101,2024-02-02,KUL,SIN,TN-ZNB,Boeing 737-800,1760,48,182,2912,5030,0.87,2.15
AB102,2024-02-02,SIN,KUL,TN-ZZB,Boeing 737-800,1800,50,178,2848,4970,0.87,2.2
AB201,2024-02-02,KUL,BKK,TN-ZNA,Airbus A330-300,14400,143,298,5364,18690,0.87,2.58
AB301,2024-02-02,SIN,HKG,TN-ZND,Airbus A330-200,13150,124,300,5400,29200,0.87,4.25
AB501,2024-02-02,BKK,SGN,TN-ZNC,Boeing 737-900ER,2060,55,180,2880,5340,0.87,2
AB101,2024-02-03,KUL,SIN,TN-ZNB,Boeing 737-800,1740,47,185,2960,5050,0.87,2.18
AB102,2024-02-03,SIN,KUL,TN-ZZB,Boeing 737-800,1780,49,180,2880,4990,0.87,2.22
AB201,2024-02-03,KUL,BKK,TN-ZNA,Airbus A330-300,14350,142,300,5400,18710,0.87,2.6
AB401,2024-02-03,KUL,PVG,TN-ZFB,Airbus A330-300,14700,135,292,5256,43150,0.87,4.72
AB101,2024-02-04,KUL,SIN,TN-ZNB,Boeing 737-800,1720,46,188,3008,5070,0.87,2.2
AB102,2024-02-04,SIN,KUL,TN-ZZB,Boeing 737-800,1760,48,182,2912,5010,0.87,2.25
AB201,2024-02-04,KUL,BKK,TN-ZNA,Airbus A330-300,14300,141,302,5436,18730,0.87,2.62
AB301,2024-02-04,SIN,HKG,TN-ZND,Airbus A330-200,13100,123,305,5490,29250,0.87,4.28
AB101,2024-02-05,KUL,SIN,TN-ZNB,Boeing 737-800,1700,45,190,3040,5090,0.86,2.22
AB102,2024-02-05,SIN,KUL,TN-ZZB,Boeing 737-800,1740,47,185,2960,5030,0.86,2.28
AB201,2024-02-05,KUL,BKK,TN-ZNA,Airbus A330-300,14250,140,305,5490,18750,0.86,2.65
AB501,2024-02-05,BKK,SGN,TN-ZNC,Boeing 737-900ER,2040,54,182,2912,5360,0.86,2.02
AB101,2024-02-06,KUL,SIN,TN-ZNB,Boeing 737-800,1680,44,192,3072,5110,0.86,2.25
AB102,2024-02-06,SIN,KUL,TN-ZZB,Boeing 737-800,1720,46,188,3008,5050,0.86,2.3
AB201,2024-02-06,KUL,BKK,TN-ZNA,Airbus A330-300,14200,139,308,5544,18770,0.86,2.68
AB401,2024-02-06,KUL,PVG,TN-ZFB,Airbus A330-300,14650,135,295,5310,43200,0.86,4.68
AB101,2024-02-07,KUL,SIN,TN-ZNB,Boeing 737-800,1660,43,195,3120,5130,0.86,2.28
AB102,2024-02-07,SIN,KUL,TN-ZZB,Boeing 737-800,1700,45,190,3040,5070,0.86,2.32
AB201,2024-02-07,KUL,BKK,TN-ZNA,Airbus A330-300,14150,138,310,5580,18790,0.86,2.7
AB301,2024-02-07,SIN,HKG,TN-ZND,Airbus A330-200,13050,122,310,5580,29300,0.86,4.32
AB501,2024-02-07,BKK,SGN,TN-ZNC,Boeing 737-900ER,2020,53,185,2960,5380,0.86,2.05
AB101,2024-02-08,KUL,SIN,TN-ZNB,Boeing 737-800,1640,42,198,3168,5150,0.86,2.3
AB102,2024-02-08,SIN,KUL,TN-ZZB,Boeing 737-800,1680,44,192,3072,5090,0.86,2.35
AB201,2024-02-08,KUL,BKK,TN-ZNA,Airbus A330-300,14100,137,312,5616,18810,0.86,2.72
AB401,2024-02-08,KUL,PVG,TN-ZFB,Airbus A330-300,14600,135,298,5364,43250,0.86,4.65
AB101,2024-02-09,KUL,SIN,TN-ZNB,Boeing 737-800,1200,30,200,3200,5170,0.85,1.85
AB102,2024-02-09,SIN,KUL,TN-ZZB,Boeing 737-800,1250,32,195,3120,5110,0.85,1.9
AB201,2024-02-09,KUL,BKK,TN-ZNA,Airbus A330-300,10500,95,315,5670,18830,0.85,2.2
AB301,2024-02-09,SIN,HKG,TN-ZND,Airbus A330-200,9800,88,315,5670,29350,0.85,3.85
AB501,2024-02-09,BKK,SGN,TN-ZNC,Boeing 737-900ER,1550,38,188,3008,5400,0.85,1.72
AB101,2024-02-10,KUL,SIN,TN-ZNB,Boeing 737-800,980,24,202,3232,5190,0.85,1.75
AB102,2024-02-10,SIN,KUL,TN-ZZB,Boeing 737-800,1020,26,198,3168,5130,0.85,1.8
AB201,2024-02-10,KUL,BKK,TN-ZNA,Airbus A330-300,8200,72,318,5724,18850,0.85,2.05
AB401,2024-02-10,KUL,PVG,TN-ZFB,Airbus A330-300,7500,65,302,5436,43300,0.85,3.5
AB101,2024-02-11,KUL,SIN,TN-ZNB,Boeing 737-800,850,21,205,3280,5210,0.85,1.65
AB102,2024-02-11,SIN,KUL,TN-ZZB,Boeing 737-800,890,22,200,3200,5150,0.85,1.7
AB201,2024-02-11,KUL,BKK,TN-ZNA,Airbus A330-300,6800,58,320,5760,18870,0.85,1.95
AB301,2024-02-11,SIN,HKG,TN-ZND,Airbus A330-200,6200,52,320,5760,29400,0.85,3.45
AB101,2024-02-12,KUL,SIN,TN-ZNB,Boeing 737-800,780,19,208,3328,5230,0.85,1.58
AB102,2024-02-12,SIN,KUL,TN-ZZB,Boeing 737-800,820,20,202,3232,5170,0.85,1.62
AB201,2024-02-12,KUL,BKK,TN-ZNA,Airbus A330-300,5800,48,322,5796,18890,0.85,1.88
AB501,2024-02-12,BKK,SGN,TN-ZNC,Boeing 737-900ER,1280,30,190,3040,5420,0.85,1.58
AB101,2024-02-13,KUL,SIN,TN-ZNB,Boeing 737-800,720,17,210,3360,5250,0.85,1.52
AB102,2024-02-13,SIN,KUL,TN-ZZB,Boeing 737-800,760,18,205,3280,5190,0.85,1.55
AB201,2024-02-13,KUL,BKK,TN-ZNA,Airbus A330-300,5200,42,325,5850,18910,0.85,1.82
AB401,2024-02-13,KUL,PVG,TN-ZFB,Airbus A330-300,4800,38,305,5490,43350,0.85,3.25
AB301,2024-02-14,SIN,HKG,TN-ZND,Airbus A330-200,5500,45,318,5724,29450,0.85,3.35
AB101,2024-02-14,KUL,SIN,TN-ZNB,Boeing 737-800,680,16,212,3392,5270,0.85,1.48
AB102,2024-02-14,SIN,KUL,TN-ZZB,Boeing 737-800,720,17,208,3328,5210,0.85,1.52
AB201,2024-02-14,KUL,BKK,TN-ZNA,Airbus A330-300,4800,38,328,5904,18930,0.85,1.78
AB501,2024-02-14,BKK,SGN,TN-ZNC,Boeing 737-900ER,1180,28,192,3072,5440,0.85,1.55
AB101,2024-02-15,KUL,SIN,TN-ZNB,Boeing 737-800,650,15,215,3440,5290,0.85,1.45
AB102,2024-02-15,SIN,KUL,TN-ZZB,Boeing 737-800,690,16,210,3360,5230,0.85,1.48
AB201,2024-02-15,KUL,BKK,TN-ZNA,Airbus A330-300,4500,35,330,5940,18950,0.85,1.75
AB401,2024-02-15,KUL,PVG,TN-ZFB,Airbus A330-300,4200,32,308,5544,43400,0.85,3.18
AB101,2024-02-16,KUL,SIN,TN-ZNB,Boeing 737-800,620,14,218,3488,5310,0.85,1.42
AB102,2024-02-16,SIN,KUL,TN-ZZB,Boeing 737-800,660,15,212,3392,5250,0.85,1.45
AB201,2024-02-16,KUL,BKK,TN-ZNA,Airbus A330-300,4300,33,332,5976,18970,0.85,1.72
AB301,2024-02-16,SIN,HKG,TN-ZND,Airbus A330-200,5000,40,322,5796,29500,0.85,3.28
AB501,2024-02-16,BKK,SGN,TN-ZNC,Boeing 737-900ER,1100,26,195,3120,5460,0.85,1.52
AB101,2024-02-17,KUL,SIN,TN-ZNB,Boeing 737-800,680,16,220,3520,5330,0.85,1.45
AB102,2024-02-17,SIN,KUL,TN-ZZB,Boeing 737-800,720,17,215,3440,5270,0.85,1.48
AB201,2024-02-17,KUL,BKK,TN-ZNA,Airbus A330-300,4600,36,335,6030,18990,0.85,1.75
AB401,2024-02-17,KUL,PVG,TN-ZFB,Airbus A330-300,4500,35,310,5580,43450,0.85,3.22
AB101,2024-02-18,KUL,SIN,TN-ZNB,Boeing 737-800,750,18,218,3488,5320,0.85,1.48
AB102,2024-02-18,SIN,KUL,TN-ZZB,Boeing 737-800,790,19,212,3392,5260,0.85,1.52
AB201,2024-02-18,KUL,BKK,TN-ZNA,Airbus A330-300,5000,40,332,5976,18980,0.85,1.78
AB301,2024-02-18,SIN,HKG,TN-ZND,Airbus A330-200,5400,44,320,5760,29480,0.85,3.32
AB101,2024-02-19,KUL,SIN,TN-ZNB,Boeing 737-800,820,20,215,3440,5310,0.85,1.52
AB102,2024-02-19,SIN,KUL,TN-ZZB,Boeing 737-800,860,21,208,3328,5250,0.85,1.55
AB201,2024-02-19,KUL,BKK,TN-ZNA,Airbus A330-300,5500,45,328,5904,18970,0.85,1.82
AB501,2024-02-19,BKK,SGN,TN-ZNC,Boeing 737-900ER,1200,29,188,3008,5440,0.85,1.55
AB101,2024-02-20,KUL,SIN,TN-ZNB,Boeing 737-800,900,22,212,3392,5300,0.85,1.55
AB102,2024-02-20,SIN,KUL,TN-ZZB,Boeing 737-800,940,23,205,3280,5240,0.85,1.58
AB201,2024-02-20,KUL,BKK,TN-ZNA,Airbus A330-300,6200,52,325,5850,18960,0.85,1.85
AB401,2024-02-20,KUL,PVG,TN-ZFB,Airbus A330-300,5800,48,305,5490,43400,0.85,3.35
AB301,2024-02-21,SIN,HKG,TN-ZND,Airbus A330-200,6000,50,318,5724,29460,0.85,3.42
AB101,2024-02-21,KUL,SIN,TN-ZNB,Boeing 737-800,980,24,208,3328,5290,0.85,1.58
AB102,2024-02-21,SIN,KUL,TN-ZZB,Boeing 737-800,1020,26,202,3232,5230,0.85,1.62
AB201,2024-02-21,KUL,BKK,TN-ZNA,Airbus A330-300,7000,60,322,5796,18950,0.85,1.88
AB501,2024-02-21,BKK,SGN,TN-ZNC,Boeing 737-900ER,1320,32,185,2960,5420,0.85,1.58
AB101,2024-02-22,KUL,SIN,TN-ZNB,Boeing 737-800,1080,27,205,3280,5280,0.85,1.62
AB102,2024-02-22,SIN,KUL,TN-ZZB,Boeing 737-800,1120,28,198,3168,5220,0.85,1.65
AB201,2024-02-22,KUL,BKK,TN-ZNA,Airbus A330-300,7800,68,318,5724,18940,0.85,1.92
AB401,2024-02-22,KUL,PVG,TN-ZFB,Airbus A330-300,7200,62,302,5436,43350,0.85,3.48
AB101,2024-02-23,KUL,SIN,TN-ZNB,Boeing 737-800,1180,30,202,3232,5270,0.85,1.65
AB102,2024-02-23,SIN,KUL,TN-ZZB,Boeing 737-800,1220,31,195,3120,5210,0.85,1.68
AB201,2024-02-23,KUL,BKK,TN-ZNA,Airbus A330-300,8600,76,315,5670,18930,0.85,1.95
AB301,2024-02-23,SIN,HKG,TN-ZND,Airbus A330-200,8000,70,315,5670,29420,0.85,3.55
AB501,2024-02-23,BKK,SGN,TN-ZNC,Boeing 737-900ER,1450,36,182,2912,5400,0.85,1.62
AB101,2024-02-24,KUL,SIN,TN-ZNB,Boeing 737-800,1280,33,198,3168,5260,0.85,1.68
AB102,2024-02-24,SIN,KUL,TN-ZZB,Boeing 737-800,1320,34,192,3072,5200,0.85,1.72
AB201,2024-02-24,KUL,BKK,TN-ZNA,Airbus A330-300,9400,85,310,5580,18920,0.85,1.98
AB401,2024-02-24,KUL,PVG,TN-ZFB,Airbus A330-300,8800,78,298,5364,43300,0.85,3.58
AB101,2024-02-25,KUL,SIN,TN-ZNB,Boeing 737-800,1350,35,195,3120,5250,0.85,1.7
AB102,2024-02-25,SIN,KUL,TN-ZZB,Boeing 737-800,1390,36,188,3008,5190,0.85,1.75
AB201,2024-02-25,KUL,BKK,TN-ZNA,Airbus A330-300,10200,92,305,5490,18910,0.85,2.02
AB301,2024-02-25,SIN,HKG,TN-ZND,Airbus A330-200,9500,86,310,5580,29380,0.85,3.65
AB101,2024-02-26,KUL,SIN,TN-ZNB,Boeing 737-800,1400,37,192,3072,5240,0.85,1.72
AB102,2024-02-26,SIN,KUL,TN-ZZB,Boeing 737-800,1440,38,185,2960,5180,0.85,1.78
AB201,2024-02-26,KUL,BKK,TN-ZNA,Airbus A330-300,10800,98,300,5400,18900,0.85,2.05
AB501,2024-02-26,BKK,SGN,TN-ZNC,Boeing 737-900ER,1580,40,178,2848,5380,0.85,1.65
AB101,2024-02-27,KUL,SIN,TN-ZNB,Boeing 737-800,1420,37,188,3008,5230,0.85,1.75
AB102,2024-02-27,SIN,KUL,TN-ZZB,Boeing 737-800,1460,38,182,2912,5170,0.85,1.8
AB201,2024-02-27,KUL,BKK,TN-ZNA,Airbus A330-300,11200,102,295,5310,18890,0.85,2.08
