flight_number,flight_date,origin,destination,tail_number,aircraft_type,gross_weight_cargo_kg,gross_volume_cargo_m3,passenger_count,baggage_weight_kg,fuel_weight_kg,fuel_price_per_kg,cargo_price_per_kg
AB201,2023-01-19,KUL,BKK,TN-ZNA,Airbus A330-300,13950,127,329,4935,40400,0.84,3.3
AB401,2023-01-19,KUL,PVG,TN-ZFB,Airbus A330-300,14100,128,325,4875,56600,0.84,4.05
AB101,2023-01-20,KUL,SIN,TN-ZNB,Boeing 737-800,1780,43,190,2850,8200,0.84,3
AB102,2023-01-20,KUL,SIN,TN-ZZB,Boeing 737-800,1810,44,193,2895,8170,0.84,3
AB201,2023-01-20,KUL,BKK,TN-ZNA,Airbus A330-300,14050,128,332,4980,40300,0.84,3.35
AB301,2023-01-20,SIN,HKG,TN-ZND,Airbus A330-200,12500,112,280,4200,36800,0.84,3.65
AB501,2023-01-20,BKK,SGN,TN-ZNC,Boeing 737-900ER,2010,50,192,2880,8850,0.84,3.1
AB101,2023-01-21,KUL,SIN,TN-ZNB,Boeing 737-800,1790,44,191,2865,8190,0.85,3
AB102,2023-01-21,KUL,SIN,TN-ZZB,Boeing 737-800,1820,44,194,2910,8160,0.85,3
AB201,2023-01-21,KUL,BKK,TN-ZNA,Airbus A330-300,14150,129,335,5025,40200,0.85,3.4
AB401,2023-01-21,KUL,PVG,TN-ZFB,Airbus A330-300,14250,130,330,4950,56400,0.85,4.1
AB101,2023-01-22,KUL,SIN,TN-ZNB,Boeing 737-800,1650,40,175,2625,8350,0.85,2.95
AB102,2023-01-22,KUL,SIN,TN-ZZB,Boeing 737-800,1680,41,178,2670,8320,0.85,2.95
AB201,2023-01-22,KUL,BKK,TN-ZNA,Airbus A330-300,13200,120,310,4650,41000,0.85,3.25
AB301,2023-01-22,SIN,HKG,TN-ZND,Airbus A330-200,11800,105,262,3930,37500,0.85,3.5
AB101,2023-01-23,KUL,SIN,TN-ZNB,Boeing 737-800,1580,38,168,2520,8420,0.85,2.9
AB102,2023-01-23,KUL,SIN,TN-ZZB,Boeing 737-800,1610,39,171,2565,8390,0.85,2.9
AB201,2023-01-23,KUL,BKK,TN-ZNA,Airbus A330-300,12800,116,300,4500,41400,0.85,3.2
AB501,2023-01-23,BKK,SGN,TN-ZNC,Boeing 737-900ER,1850,46,176,2640,9100,0.85,3
AB101,2023-01-24,KUL,SIN,TN-ZNB,Boeing 737-800,1560,38,165,2475,8440,0.85,2.9
AB102,2023-01-24,KUL,SIN,TN-ZZB,Boeing 737-800,1590,38,168,2520,8410,0.85,2.9
AB201,2023-01-24,KUL,BKK,TN-ZNA,Airbus A330-300,12600,114,295,4425,41600,0.85,3.2
AB401,2023-01-24,KUL,PVG,TN-ZFB,Airbus A330-300,13500,122,305,4575,57200,0.85,3.95
AB301,2023-01-24,SIN,HKG,TN-ZND,Airbus A330-200,11600,103,255,3825,37800,0.85,3.45
AB101,2023-01-25,KUL,SIN,TN-ZNB,Boeing 737-800,1590,38,169,2535,8410,0.85,2.9
AB102,2023-01-25,KUL,SIN,TN-ZZB,Boeing 737-800,1620,39,172,2580,8380,0.85,2.9
AB201,2023-01-25,KUL,BKK,TN-ZNA,Airbus A330-300,12750,116,298,4470,41450,0.85,3.2
AB501,2023-01-25,BKK,SGN,TN-ZNC,Boeing 737-900ER,1880,47,179,2685,9050,0.85,3
AB101,2023-01-26,KUL,SIN,TN-ZNB,Boeing 737-800,1620,39,172,2580,8380,0.85,2.9
AB102,2023-01-26,KUL,SIN,TN-ZZB,Boeing 737-800,1650,40,175,2625,8350,0.85,2.9
AB201,2023-01-26,KUL,BKK,TN-ZNA,Airbus A330-300,12900,117,302,4530,41300,0.85,3.2
AB401,2023-01-26,KUL,PVG,TN-ZFB,Airbus A330-300,13650,124,310,4650,57000,0.85,3.95
AB101,2023-01-27,KUL,SIN,TN-ZNB,Boeing 737-800,1650,40,175,2625,8350,0.85,2.9
AB102,2023-01-27,KUL,SIN,TN-ZZB,Boeing 737-800,1680,41,178,2670,8320,0.85,2.9
AB201,2023-01-27,KUL,BKK,TN-ZNA,Airbus A330-300,13050,119,306,4590,41150,0.85,3.25
AB301,2023-01-27,SIN,HKG,TN-ZND,Airbus A330-200,11900,106,265,3975,37400,0.85,3.5
AB501,2023-01-27,BKK,SGN,TN-ZNC,Boeing 737-900ER,1910,47,182,2730,9000,0.85,3.05
AB101,2023-01-28,KUL,SIN,TN-ZNB,Boeing 737-800,1680,41,178,2670,8320,0.85,2.95
AB102,2023-01-28,KUL,SIN,TN-ZZB,Boeing 737-800,1710,42,181,2715,8290,0.85,2.95
AB201,2023-01-28,KUL,BKK,TN-ZNA,Airbus A330-300,13200,120,310,4650,41000,0.85,3.25
AB401,2023-01-28,KUL,PVG,TN-ZFB,Airbus A330-300,13800,125,315,4725,56800,0.85,4
AB101,2023-01-29,KUL,SIN,TN-ZNB,Boeing 737-800,1710,42,181,2715,8290,0.85,2.95
AB102,2023-01-29,KUL,SIN,TN-ZZB,Boeing 737-800,1740,42,184,2760,8260,0.85,2.95
AB201,2023-01-29,KUL,BKK,TN-ZNA,Airbus A330-300,13350,121,314,4710,40850,0.85,3.25
AB301,2023-01-29,SIN,HKG,TN-ZND,Airbus A330-200,12100,108,270,4050,37200,0.85,3.55
AB101,2023-01-30,KUL,SIN,TN-ZNB,Boeing 737-800,1740,42,184,2760,8260,0.85,2.95
AB102,2023-01-30,KUL,SIN,TN-ZZB,Boeing 737-800,1770,43,187,2805,8230,0.85,2.95
AB201,2023-01-30,KUL,BKK,TN-ZNA,Airbus A330-300,13500,123,318,4770,40700,0.85,3.3
AB501,2023-01-30,BKK,SGN,TN-ZNC,Boeing 737-900ER,1940,48,185,2775,8950,0.85,3.05
AB101,2023-01-31,KUL,SIN,TN-ZNB,Boeing 737-800,1760,43,186,2790,8240,0.85,2.95
AB102,2023-01-31,KUL,SIN,TN-ZZB,Boeing 737-800,1790,44,189,2835,8210,0.85,2.95
AB201,2023-01-31,KUL,BKK,TN-ZNA,Airbus A330-300,13650,124,322,4830,40550,0.85,3.3
AB401,2023-01-31,KUL,PVG,TN-ZFB,Airbus A330-300,13950,127,320,4800,56600,0.85,4
AB301,2023-01-31,SIN,HKG,TN-ZND,Airbus A330-200,12250,109,275,4125,37000,0.85,3.55
AB101,2023-02-01,KUL,SIN,TN-ZNB,Boeing 737-800,1780,43,188,2820,8220,0.86,3
AB102,2023-02-01,KUL,SIN,TN-ZZB,Boeing 737-800,1810,44,191,2865,8190,0.86,3
AB201,2023-02-01,KUL,BKK,TN-ZNA,Airbus A330-300,13800,126,326,4890,40400,0.86,3.35
AB501,2023-02-01,BKK,SGN,TN-ZNC,Boeing 737-900ER,1970,49,188,2820,8900,0.86,3.1
AB101,2023-02-02,KUL,SIN,TN-ZNB,Boeing 737-800,1795,44,190,2850,8205,0.86,3
AB102,2023-02-02,KUL,SIN,TN-ZZB,Boeing 737-800,1825,44,193,2895,8175,0.86,3
AB201,2023-02-02,KUL,BKK,TN-ZNA,Airbus A330-300,13920,127,329,4935,40280,0.86,3.35
AB401,2023-02-02,KUL,PVG,TN-ZFB,Airbus A330-300,14100,128,325,4875,56400,0.86,4.1
AB301,2023-02-02,SIN,HKG,TN-ZND,Airbus A330-200,12400,111,280,4200,36800,0.86,3.6
AB101,2023-02-03,KUL,SIN,TN-ZNB,Boeing 737-800,1810,44,192,2880,8190,0.86,3
AB102,2023-02-03,KUL,SIN,TN-ZZB,Boeing 737-800,1840,45,195,2925,8160,0.86,3
AB201,2023-02-03,KUL,BKK,TN-ZNA,Airbus A330-300,14040,128,332,4980,40160,0.86,3.4
AB501,2023-02-03,BKK,SGN,TN-ZNC,Boeing 737-900ER,2000,50,191,2865,8850,0.86,3.15
AB101,2023-02-04,KUL,SIN,TN-ZNB,Boeing 737-800,1820,44,193,2895,8180,0.86,3.05
AB102,2023-02-04,KUL,SIN,TN-ZZB,Boeing 737-800,1850,45,196,2940,8150,0.86,3.05
AB201,2023-02-04,KUL,BKK,TN-ZNA,Airbus A330-300,14150,129,335,5025,40050,0.86,3.4
AB401,2023-02-04,KUL,PVG,TN-ZFB,Airbus A330-300,14250,130,330,4950,56200,0.86,4.15
AB301,2023-02-04,SIN,HKG,TN-ZND,Airbus A330-200,12550,112,285,4275,36600,0.86,3.65
AB101,2023-02-05,KUL,SIN,TN-ZNB,Boeing 737-800,1830,45,194,2910,8170,0.86,3.05
AB102,2023-02-05,KUL,SIN,TN-ZZB,Boeing 737-800,1860,45,197,2955,8140,0.86,3.05
AB201,2023-02-05,KUL,BKK,TN-ZNA,Airbus A330-300,14260,130,338,5070,39940,0.86,3.45
AB301,2023-02-05,SIN,HKG,TN-ZND,Airbus A330-200,12650,113,288,4320,36450,0.86,3.7
AB101,2023-02-06,KUL,SIN,TN-ZNB,Boeing 737-800,1840,45,195,2925,8160,0.86,3.05
AB102,2023-02-06,KUL,SIN,TN-ZZB,Boeing 737-800,1870,46,198,2970,8130,0.86,3.05
AB201,2023-02-06,KUL,BKK,TN-ZNA,Airbus A330-300,14350,131,340,5100,39850,0.86,3.45
AB501,2023-02-06,BKK,SGN,TN-ZNC,Boeing 737-900ER,2030,50,194,2910,8800,0.86,3.15
AB101,2023-02-07,KUL,SIN,TN-ZNB,Boeing 737-800,1845,45,196,2940,8155,0.87,3.05
AB102,2023-02-07,KUL,SIN,TN-ZZB,Boeing 737-800,1875,46,199,2985,8125,0.87,3.05
AB201,2023-02-07,KUL,BKK,TN-ZNA,Airbus A330-300,14420,131,342,5130,39780,0.87,3.5
AB401,2023-02-07,KUL,PVG,TN-ZFB,Airbus A330-300,14380,131,335,5025,56000,0.87,4.2
AB301,2023-02-07,SIN,HKG,TN-ZND,Airbus A330-200,12750,114,292,4380,36300,0.87,3.75
AB101,2023-02-08,KUL,SIN,TN-ZNB,Boeing 737-800,1850,45,197,2955,8150,0.87,3.05
AB102,2023-02-08,KUL,SIN,TN-ZZB,Boeing 737-800,1880,46,200,3000,8120,0.87,3.05
AB201,2023-02-08,KUL,BKK,TN-ZNA,Airbus A330-300,14480,132,344,5160,39720,0.87,3.5
AB501,2023-02-08,BKK,SGN,TN-ZNC,Boeing 737-900ER,2050,51,196,2940,8750,0.87,3.2
AB101,2023-02-09,KUL,SIN,TN-ZNB,Boeing 737-800,1850,45,197,2955,8150,0.87,3.05
AB102,2023-02-09,KUL,SIN,TN-ZZB,Boeing 737-800,1880,46,200,3000,8120,0.87,3.05
AB201,2023-02-09,KUL,BKK,TN-ZNA,Airbus A330-300,14500,132,345,5175,39700,0.87,3.5
AB401,2023-02-09,KUL,PVG,TN-ZFB,Airbus A330-300,14450,132,338,5070,55850,0.87,4.25
AB301,2023-02-09,SIN,HKG,TN-ZND,Airbus A330-200,12850,115,295,4425,36150,0.87,3.8
AB101,2023-02-10,KUL,SIN,TN-ZNB,Boeing 737-800,1845,45,196,2940,8155,0.87,3.05
AB102,2023-02-10,KUL,SIN,TN-ZZB,Boeing 737-800,1875,46,199,2985,8125,0.87,3.05
AB201,2023-02-10,KUL,BKK,TN-ZNA,Airbus A330-300,14450,132,343,5145,39750,0.87,3.5
AB501,2023-02-10,BKK,SGN,TN-ZNC,Boeing 737-900ER,2040,51,195,2925,8770,0.87,3.2
AB101,2023-02-11,KUL,SIN,TN-ZNB,Boeing 737-800,1840,45,195,2925,8160,0.87,3
AB102,2023-02-11,KUL,SIN,TN-ZZB,Boeing 737-800,1870,46,198,2970,8130,0.87,3
AB201,2023-02-11,KUL,BKK,TN-ZNA,Airbus A330-300,14380,131,341,5115,39820,0.87,3.45
AB401,2023-02-11,KUL,PVG,TN-ZFB,Airbus A330-300,14400,131,336,5040,55900,0.87,4.2
AB301,2023-02-11,SIN,HKG,TN-ZND,Airbus A330-200,12800,114,293,4395,36200,0.87,3.75
AB101,2023-02-12,KUL,SIN,TN-ZNB,Boeing 737-800,1830,45,193,2895,8170,0.87,3
AB102,2023-02-12,KUL,SIN,TN-ZZB,Boeing 737-800,1860,45,196,2940,8140,0.87,3
AB201,2023-02-12,KUL,BKK,TN-ZNA,Airbus A330-300,14300,130,338,5070,39900,0.87,3.45
AB301,2023-02-12,SIN,HKG,TN-ZND,Airbus A330-200,12700,113,290,4350,36350,0.87,3.7
AB101,2023-02-13,KUL,SIN,TN-ZNB,Boeing 737-800,1810,44,190,2850,8190,0.87,2.95
AB102,2023-02-13,KUL,SIN,TN-ZZB,Boeing 737-800,1840,45,193,2895,8160,0.87,2.95
AB201,2023-02-13,KUL,BKK,TN-ZNA,Airbus A330-300,14150,129,334,5010,40050,0.87,3.4
AB501,2023-02-13,BKK,SGN,TN-ZNC,Boeing 737-900ER,2010,50,192,2880,8820,0.87,3.15
AB101,2023-02-14,KUL,SIN,TN-ZNB,Boeing 737-800,1790,44,188,2820,8210,0.87,2.95
AB102,2023-02-14,KUL,SIN,TN-ZZB,Boeing 737-800,1820,44,191,2865,8180,0.87,2.95
AB201,2023-02-14,KUL,BKK,TN-ZNA,Airbus A330-300,14000,128,330,4950,40200,0.87,3.35
AB401,2023-02-14,KUL,PVG,TN-ZFB,Airbus A330-300,14200,129,332,4980,56100,0.87,4.15
AB301,2023-02-14,SIN,HKG,TN-ZND,Airbus A330-200,12550,112,285,4275,36500,0.87,3.65
AB101,2023-02-15,KUL,SIN,TN-ZNB,Boeing 737-800,1770,43,185,2775,8230,0.87,2.9
AB102,2023-02-15,KUL,SIN,TN-ZZB,Boeing 737-800,1800,44,188,2820,8200,0.87,2.9
AB201,2023-02-15,KUL,BKK,TN-ZNA,Airbus A330-300,13850,126,326,4890,40350,0.87,3.3
AB501,2023-02-15,BKK,SGN,TN-ZNC,Boeing 737-900ER,1980,49,189,2835,8870,0.87,3.1
AB101,2023-02-16,KUL,SIN,TN-ZNB,Boeing 737-800,1740,42,182,2730,8260,0.86,2.9
AB102,2023-02-16,KUL,SIN,TN-ZZB,Boeing 737-800,1770,43,185,2775,8230,0.86,2.9
AB201,2023-02-16,KUL,BKK,TN-ZNA,Airbus A330-300,13650,124,320,4800,40550,0.86,3.25
AB401,2023-02-16,KUL,PVG,TN-ZFB,Airbus A330-300,13950,127,325,4875,56400,0.86,4.05
AB301,2023-02-16,SIN,HKG,TN-ZND,Airbus A330-200,12350,110,278,4170,36750,0.86,3.55
AB101,2023-02-17,KUL,SIN,TN-ZNB,Boeing 737-800,1710,42,179,2685,8290,0.86,2.85
AB102,2023-02-17,KUL,SIN,TN-ZZB,Boeing 737-800,1740,42,182,2730,8260,0.86,2.85
AB201,2023-02-17,KUL,BKK,TN-ZNA,Airbus A330-300,13450,122,315,4725,40750,0.86,3.2
AB501,2023-02-17,BKK,SGN,TN-ZNC,Boeing 737-900ER,1940,48,185,2775,8920,0.86,3.05
AB101,2023-02-18,KUL,SIN,TN-ZNB,Boeing 737-800,1680,41,176,2640,8320,0.86,2.85
AB102,2023-02-18,KUL,SIN,TN-ZZB,Boeing 737-800,1710,42,179,2685,8290,0.86,2.85
AB201,2023-02-18,KUL,BKK,TN-ZNA,Airbus A330-300,13250,121,310,4650,40950,0.86,3.15
AB401,2023-02-18,KUL,PVG,TN-ZFB,Airbus A330-300,13700,124,318,4770,56700,0.86,3.95
AB301,2023-02-18,SIN,HKG,TN-ZND,Airbus A330-200,12100,108,272,4080,37000,0.86,3.5
AB101,2023-02-19,KUL,SIN,TN-ZNB,Boeing 737-800,1650,40,173,2595,8350,0.86,2.8
AB102,2023-02-19,KUL,SIN,TN-ZZB,Boeing 737-800,1680,41,176,2640,8320,0.86,2.8
AB201,2023-02-19,KUL,BKK,TN-ZNA,Airbus A330-300,13050,119,305,4575,41150,0.86,3.1
AB301,2023-02-19,SIN,HKG,TN-ZND,Airbus A330-200,11900,106,268,4020,37200,0.86,3.45
AB101,2023-02-20,KUL,SIN,TN-ZNB,Boeing 737-800,1620,39,170,2550,8380,0.86,2.8
AB102,2023-02-20,KUL,SIN,TN-ZZB,Boeing 737-800,1650,40,173,2595,8350,0.86,2.8
AB201,2023-02-20,KUL,BKK,TN-ZNA,Airbus A330-300,12850,117,300,4500,41350,0.86,3.1
AB501,2023-02-20,BKK,SGN,TN-ZNC,Boeing 737-900ER,1900,47,181,2715,8970,0.86,3
AB101,2023-02-21,KUL,SIN,TN-ZNB,Boeing 737-800,1600,39,168,2520,8400,0.85,2.8
AB102,2023-02-21,KUL,SIN,TN-ZZB,Boeing 737-800,1630,40,171,2565,8370,0.85,2.8
AB201,2023-02-21,KUL,BKK,TN-ZNA,Airbus A330-300,12650,115,295,4425,41550,0.85,3.05
AB401,2023-02-21,KUL,PVG,TN-ZFB,Airbus A330-300,13450,122,312,4680,57000,0.85,3.85
AB301,2023-02-21,SIN,HKG,TN-ZND,Airbus A330-200,11700,104,262,3930,37450,0.85,3.4
AB101,2023-02-22,KUL,SIN,TN-ZNB,Boeing 737-800,1580,38,166,2490,8420,0.85,2.75
AB102,2023-02-22,KUL,SIN,TN-ZZB,Boeing 737-800,1610,39,169,2535,8390,0.85,2.75
AB201,2023-02-22,KUL,BKK,TN-ZNA,Airbus A330-300,12450,113,290,4350,41750,0.85,3
AB501,2023-02-22,BKK,SGN,TN-ZNC,Boeing 737-900ER,1870,46,178,2670,9020,0.85,2.95
AB101,2023-02-23,KUL,SIN,TN-ZNB,Boeing 737-800,1560,38,164,2460,8440,0.85,2.75
AB102,2023-02-23,KUL,SIN,TN-ZZB,Boeing 737-800,1590,38,167,2505,8410,0.85,2.75
AB201,2023-02-23,KUL,BKK,TN-ZNA,Airbus A330-300,12250,111,285,4275,41950,0.85,2.95
AB401,2023-02-23,KUL,PVG,TN-ZFB,Airbus A330-300,13200,120,305,4575,57300,0.85,3.75
AB301,2023-02-23,SIN,HKG,TN-ZND,Airbus A330-200,11500,102,256,3840,37700,0.85,3.35
AB101,2023-02-24,KUL,SIN,TN-ZNB,Boeing 737-800,1540,37,162,2430,8460,0.85,2.75
AB102,2023-02-24,KUL,SIN,TN-ZZB,Boeing 737-800,1570,38,165,2475,8430,0.85,2.75
AB201,2023-02-24,KUL,BKK,TN-ZNA,Airbus A330-300,12050,109,280,4200,42150,0.85,2.9
AB501,2023-02-24,BKK,SGN,TN-ZNC,Boeing 737-900ER,1840,46,175,2625,9070,0.85,2.9
AB101,2023-02-25,KUL,SIN,TN-ZNB,Boeing 737-800,1520,37,160,2400,8480,0.85,2.7
AB102,2023-02-25,KUL,SIN,TN-ZZB,Boeing 737-800,1550,38,163,2445,8450,0.85,2.7
AB201,2023-02-25,KUL,BKK,TN-ZNA,Airbus A330-300,11850,108,275,4125,42350,0.85,2.85
AB401,2023-02-25,KUL,PVG,TN-ZFB,Airbus A330-300,12950,118,298,4470,57600,0.85,3.65
